,safe,efficiency
0,100.0,19.320500000000003
1,100.0,20.572179999999996
2,100.0,21.600699999999996
3,100.0,21.745879999999993
4,100.0,21.542820000000006
5,100.0,20.2444
6,100.0,18.66136999999999
7,100.0,16.22699
8,100.0,13.59254
9,100.0,10.976019999999991
10,100.0,9.40858
11,100.0,8.485069999999993
12,100.0,8.50291
13,100.0,9.253770000000003
14,100.0,10.24396999999999
15,100.0,10.35996999999999
16,100.0,10.054739999999995
17,100.0,10.378889999999998
18,100.0,10.154169999999993
19,100.0,10.585660000000004
20,100.0,12.644729999999996
21,100.0,15.295339999999996
22,100.0,17.544150000000002
23,100.0,20.41225
24,100.0,23.026659999999993
25,100.0,25.295500000000004
26,100.0,27.67246
27,100.0,30.26254
28,100.0,32.326660000000004
29,14.000000000000002,33.494820000000004
30,34.0,33.515600000000006
31,54.0,32.873580000000004
32,74.0,31.49113
33,94.0,30.353290000000015
34,100.0,29.90845999999999
35,100.0,29.959990000000005
36,100.0,29.98111
37,90.0,29.39322999999999
38,70.0,29.857470000000006
39,50.0,31.64724000000001
40,30.0,34.63086000000001
41,10.0,38.47938000000002
42,100.0,44.253900000000016
43,100.0,48.28102000000001
44,100.0,50.73389000000003
45,100.0,51.45937000000001
46,100.0,51.69921999999997
47,100.0,50.52006
48,100.0,50.19604000000004
49,100.0,49.25726000000003
50,100.0,48.363260000000025
51,100.0,46.622649999999965
52,100.0,43.78305999999998
53,100.0,39.41356000000002
54,100.0,36.08904000000001
55,100.0,33.66230999999999
56,100.0,32.22834
57,100.0,32.07999000000001
58,100.0,33.208590000000015
59,100.0,33.98570999999998
60,100.0,34.126419999999996
61,100.0,34.628150000000005
62,100.0,35.61243999999999
63,100.0,36.57516000000004
64,100.0,41.248670000000004
65,100.0,42.569489999999995
66,92.0,44.753550000000004
67,72.0,48.40956
68,52.0,51.2153
69,32.0,53.077380000000005
70,12.0,54.03622999999999
71,100.0,54.06943
72,100.0,55.08407000000001
73,100.0,56.63672
74,100.0,58.65917999999999
75,100.0,61.69736
76,100.0,64.85949
77,100.0,68.63297
78,100.0,72.52126999999999
79,100.0,76.37060000000002
80,100.0,80.23326
81,100.0,84.16660999999999
82,100.0,88.34138999999999
83,100.0,91.94853
84,100.0,94.54187999999999
85,100.0,97.21170999999998
86,100.0,98.48409000000004
87,100.0,98.94740000000002
88,100.0,31.98075
89,100.0,27.15177
90,100.0,20.24284999999999
91,100.0,13.501000000000005
92,100.0,8.168939999999992
93,100.0,6.135390000000001
