"206.4622";": ";"06";" ";" ";" DL:  8    02 10 00 aa "
"206.4777";": ";"06";" ";" ";" DL:  8    03 7f 10 12 "
"206.4933";": ";"06";" ";" ";" DL:  8    02 10 03 aa "
"206.5085";": ";"06";" ";" ";" DL:  8    02 50 03 00 "
"206.5239";": ";"06";" ";" ";" DL:  8    02 10 01 aa "
"206.5395";": ";"06";" ";" ";" DL:  8    02 50 01 00 "
"206.5547";": ";"06";" ";" ";" DL:  8    02 10 03 aa "
"206.5700";": ";"06";" ";" ";" DL:  8    02 50 03 00 "
"212.4448";": ";"06";" ";" ";" DL:  8    02 10 81 aa "
"212.4599";": ";"06";" ";" ";" DL:  8    03 7f 10 12 "
"212.4672";": ";"06";" ";" ";" DL:  8    02 11 00 aa "
"212.4756";": ";"06";" ";" ";" DL:  8    03 7f 11 7f "
"212.4914";": ";"06";" ";" ";" DL:  8    02 10 01 aa "
"212.5069";": ";"06";" ";" ";" DL:  8    02 50 01 00 "
"212.5222";": ";"06";" ";" ";" DL:  8    02 10 03 aa "
"212.5379";": ";"06";" ";" ";" DL:  8    02 50 03 00 "
"212.5531";": ";"06";" ";" ";" DL:  8    02 11 00 aa "
"212.5686";": ";"06";" ";" ";" DL:  8    03 7f 11 7f "
"214.6012";": ";"06";" ";" ";" DL:  8    02 10 81 aa "
"214.6166";": ";"06";" ";" ";" DL:  8    03 7f 10 12 "
"214.6212";": ";"06";" ";" ";" DL:  8    02 27 00 aa "
"214.6320";": ";"06";" ";" ";" DL:  8    03 7f 27 7f "
"214.6473";": ";"06";" ";" ";" DL:  8    02 10 01 aa "
"214.6642";": ";"06";" ";" ";" DL:  8    02 50 01 00 "
"214.6781";": ";"06";" ";" ";" DL:  8    02 10 03 aa "
"214.6934";": ";"06";" ";" ";" DL:  8    02 50 03 00 "
"214.7088";": ";"06";" ";" ";" DL:  8    02 27 00 aa "
"214.7242";": ";"06";" ";" ";" DL:  8    03 7f 27 7f "
"214.7413";": ";"06";" ";" ";" DL:  8    02 10 01 aa "
"214.7556";": ";"06";" ";" ";" DL:  8    02 50 01 00 "
"214.7703";": ";"06";" ";" ";" DL:  8    03 22 00 01 "
"214.7857";": ";"06";" ";" ";" DL:  8    03 7f 22 12 "
"214.8010";": ";"06";" ";" ";" DL:  8    03 22 f1 86 "
"214.8165";": ";"06";" ";" ";" DL:  8    04 62 f1 86 "
"214.8199";": ";"06";" ";" ";" DL:  8    04 62 f1 87 "
"214.8215";": ";"06";" ";" ";" DL:  8    03 7f 22 12 "
"214.8321";": ";"06";" ";" ";" DL:  8    02 10 01 aa "
"214.8472";": ";"06";" ";" ";" DL:  8    02 50 01 00 "
"214.8632";": ";"06";" ";" ";" DL:  8    03 22 f1 86 "
"214.8780";": ";"06";" ";" ";" DL:  8    04 62 f1 86 "
"214.8933";": ";"06";" ";" ";" DL:  8    04 62 f1 87 "
"214.8999";": ";"06";" ";" ";" DL:  8    03 7f 22 12 "
"214.9016";": ";"06";" ";" ";" DL:  8    03 22 f1 86 "
"214.9086";": ";"06";" ";" ";" DL:  8    04 62 f1 86 "
"214.9133";": ";"06";" ";" ";" DL:  8    04 62 f1 87 "
