,ID,Time,PositionX,PositionY
0,1.0,148.0,2.0,50.38612
1,1.0,149.0,2.0,50.69421
2,1.0,150.0,2.0,51.00658
3,1.0,151.0,2.0,51.32203
4,1.0,152.0,2.0,51.63942
5,1.0,153.0,2.0,51.95797
6,1.0,154.0,2.0,52.2772
7,1.0,155.0,2.0,52.59686
8,1.0,156.0,2.0,52.91681
9,1.0,157.0,2.0,53.237
10,1.0,158.0,2.0,53.55747
11,1.0,159.0,2.0,53.87834
12,1.0,160.0,2.0,54.19987
13,1.0,161.0,2.0,54.52254
14,1.0,162.0,2.0,54.84719
15,1.0,163.0,2.0,55.1753
16,1.0,164.0,2.0,55.50924
17,1.0,165.0,2.0,55.85238
18,1.0,166.0,2.0,56.20856
19,1.0,167.0,2.0,56.58099
20,1.0,168.0,2.0,56.97093
21,1.0,169.0,2.0,57.37711
22,1.0,170.0,2.0,57.79633
23,1.0,171.0,2.0,58.22474
24,1.0,172.0,2.0,58.65898
25,1.0,173.0,2.0,59.09669
26,1.0,174.0,2.0,59.5364
27,1.0,175.0,2.0,59.97726
28,1.0,176.0,2.0,60.41878
29,1.0,177.0,2.0,60.86066
30,1.0,178.0,2.0,61.30277
31,1.0,179.0,2.0,61.745
32,1.0,180.0,2.0,62.18731
33,1.0,181.0,2.0,62.62967
34,1.0,182.0,2.0,63.07204
35,1.0,183.0,2.0,63.51439
36,1.0,184.0,2.0,63.9567
37,1.0,185.0,2.0,64.39899
38,1.0,186.0,2.0,64.84127
39,1.0,187.0,2.0,65.28355
40,1.0,188.0,2.0,65.72585
41,1.0,189.0,2.0,66.16815
42,1.0,190.0,2.0,66.61045
43,1.0,191.0,2.0,67.05276
44,1.0,192.0,2.0,67.49507
45,1.0,193.0,2.0,67.93738
46,1.0,194.0,2.0,68.37969
47,1.0,195.0,2.0,68.822
48,1.0,196.0,2.0,69.26431
49,1.0,197.0,2.0,69.70662
50,11.0,189.0,2.0,50.20508
51,11.0,190.0,2.0,50.64728
52,11.0,191.0,2.0,51.0897
53,11.0,192.0,2.0,51.53247
54,11.0,193.0,2.0,51.97584
55,11.0,194.0,2.0,52.42025
56,11.0,195.0,2.0,52.8664
57,11.0,196.0,2.0,53.3153
58,11.0,197.0,2.0,53.76804
59,36.0,148.0,3.0,85.08636
60,36.0,149.0,3.0,85.15052
61,36.0,150.0,3.0,85.19286
62,36.0,151.0,3.0,85.21883
63,36.0,152.0,3.0,85.23353
64,36.0,153.0,3.0,85.23353
65,36.0,154.0,3.0,85.23353
66,36.0,155.0,3.0,85.23353
67,36.0,156.0,3.0,85.24475
68,36.0,157.0,3.0,85.26404
69,36.0,158.0,3.0,85.29522
70,36.0,159.0,3.0,85.34173
71,36.0,160.0,3.0,85.40572
72,36.0,161.0,3.0,85.48687
73,36.0,162.0,3.0,85.58236
74,36.0,163.0,3.0,85.68821
75,36.0,164.0,3.0,85.80074
76,36.0,165.0,3.0,85.91726
77,36.0,166.0,3.0,86.03611
78,36.0,167.0,3.0,86.1563
79,36.0,168.0,3.0,86.27728
80,36.0,169.0,3.0,86.39873
81,36.0,170.0,3.0,86.52051
82,36.0,171.0,3.0,86.64255
83,36.0,172.0,3.0,86.76487
84,36.0,173.0,3.0,86.88758
85,36.0,174.0,3.0,87.01091
86,36.0,175.0,3.0,87.1353
87,36.0,176.0,3.0,87.26148
88,36.0,177.0,3.0,87.39051
89,36.0,178.0,3.0,87.52363
90,36.0,179.0,3.0,87.66187
91,36.0,180.0,3.0,87.80562
92,36.0,181.0,3.0,87.95447
93,36.0,182.0,3.0,88.10739
94,36.0,183.0,3.0,88.26313
95,36.0,184.0,3.0,88.42065
96,36.0,185.0,3.0,88.57923
97,36.0,186.0,3.0,88.73843
98,36.0,187.0,3.0,88.89797
99,36.0,188.0,3.0,89.05771
100,36.0,189.0,3.0,89.21754
101,36.0,190.0,3.0,89.3774
102,36.0,191.0,3.0,89.5372
103,36.0,192.0,3.0,89.69687
104,36.0,193.0,3.0,89.85628
105,36.0,194.0,3.0,90.01521
106,36.0,195.0,3.0,90.1733
107,36.0,196.0,3.0,90.32996
