,ID,Time,PositionX,PositionY
108,36.0,197.0,3.0,90.48435
109,50.0,148.0,3.0,64.46023
110,50.0,149.0,3.0,64.8079
111,50.0,150.0,3.0,65.15322
112,50.0,151.0,3.0,65.49457
113,50.0,152.0,3.0,65.82933
114,50.0,153.0,3.0,66.15347
115,50.0,154.0,3.0,66.46159
116,50.0,155.0,3.0,66.74823
117,50.0,156.0,3.0,67.00994
118,50.0,157.0,3.0,67.24705
119,50.0,158.0,3.0,67.4643
120,50.0,159.0,3.0,67.66973
121,50.0,160.0,3.0,67.8719
122,50.0,161.0,3.0,68.07672
123,50.0,162.0,3.0,68.28634
124,50.0,163.0,3.0,68.50027
125,50.0,164.0,3.0,68.71715
126,50.0,165.0,3.0,68.93585
127,50.0,166.0,3.0,69.15563
128,50.0,167.0,3.0,69.37604
129,50.0,168.0,3.0,69.59684
130,50.0,169.0,3.0,69.81785
131,50.0,170.0,3.0,70.03898
132,50.0,171.0,3.0,70.26018
133,50.0,172.0,3.0,70.48141
134,50.0,173.0,3.0,70.70266
135,50.0,174.0,3.0,70.92394
136,50.0,175.0,3.0,71.14523
137,50.0,176.0,3.0,71.36653
138,50.0,177.0,3.0,71.58784
139,50.0,178.0,3.0,71.80914
140,50.0,179.0,3.0,72.03044
141,50.0,180.0,3.0,72.25173
142,50.0,181.0,3.0,72.47301
143,50.0,182.0,3.0,72.69429
144,50.0,183.0,3.0,72.91558
145,50.0,184.0,3.0,73.13687
146,50.0,185.0,3.0,73.35817
147,50.0,186.0,3.0,73.57947
148,50.0,187.0,3.0,73.80077
149,50.0,188.0,3.0,74.02208
150,50.0,189.0,3.0,74.24339
151,50.0,190.0,3.0,74.46469
152,50.0,191.0,3.0,74.686
153,50.0,192.0,3.0,74.9073
154,50.0,193.0,3.0,75.1286
155,50.0,194.0,3.0,75.3499
156,50.0,195.0,3.0,75.5712
157,50.0,196.0,3.0,75.79251
158,50.0,197.0,3.0,76.01386
159,51.0,158.0,3.0,50.03315
160,51.0,159.0,3.0,50.3659
161,51.0,160.0,3.0,50.6919
162,51.0,161.0,3.0,51.00851
163,51.0,162.0,3.0,51.31166
164,51.0,163.0,3.0,51.59671
165,51.0,164.0,3.0,51.85999
166,51.0,165.0,3.0,52.10016
167,51.0,166.0,3.0,52.31875
168,51.0,167.0,3.0,52.51965
169,51.0,168.0,3.0,52.70784
170,51.0,169.0,3.0,52.88793
171,51.0,170.0,3.0,53.0634
172,51.0,171.0,3.0,53.23661
173,51.0,172.0,3.0,53.40926
174,51.0,173.0,3.0,53.58256
175,51.0,174.0,3.0,53.75735
176,51.0,175.0,3.0,53.93402
177,51.0,176.0,3.0,54.11253
178,51.0,177.0,3.0,54.29251
179,51.0,178.0,3.0,54.47344
180,51.0,179.0,3.0,54.65482
181,51.0,180.0,3.0,54.83619
182,51.0,181.0,3.0,55.01706
183,51.0,182.0,3.0,55.1969
184,51.0,183.0,3.0,55.37514
185,51.0,184.0,3.0,55.5513
186,51.0,185.0,3.0,55.72516
187,51.0,186.0,3.0,55.89678
188,51.0,187.0,3.0,56.06639
189,51.0,188.0,3.0,56.23418
190,51.0,189.0,3.0,56.40003
191,51.0,190.0,3.0,56.56333
192,51.0,191.0,3.0,56.72281
193,51.0,192.0,3.0,56.87648
194,51.0,193.0,3.0,57.02196
195,51.0,194.0,3.0,57.15729
196,51.0,195.0,3.0,57.28174
197,51.0,196.0,3.0,57.39629
198,51.0,197.0,3.0,57.50323
